Song_correct;Artist_correct;Song_concat;YT_link
czerwony autobus;andrzej bogucki i chor czejanda;czerwony autobus andrzej bogucki i chor czejanda;https://www.youtube.com/watch?v=nxwKRrUmQLo
jak przygoda to tylko w warszawie;andrzej bogucki i chor czejanda;jak przygoda to tylko w warszawie andrzej bogucki i chor czejanda;https://www.youtube.com/watch?v=HK6PhCgqNUw
trzej przyjaciele z boiska;andrzej bogucki i chor czejanda;trzej przyjaciele z boiska andrzej bogucki i chor czejanda;https://www.youtube.com/watch?v=rLiLY9TIvsA
do zakochania jeden krok;andrzej dabrowski;do zakochania jeden krok andrzej dabrowski;https://www.youtube.com/watch?v=ebEGg1c2Mvw
niewczesna milosc;andrzej dabrowski;niewczesna milosc andrzej dabrowski;https://www.youtube.com/watch?v=EubT4cxDuyA
przygoda z maria;andrzej dabrowski;przygoda z maria andrzej dabrowski;https://www.youtube.com/watch?v=bgN-uALDsBI
szal by night;andrzej dabrowski;szal by night andrzej dabrowski;https://www.youtube.com/watch?v=k0pNnowMwWM
zielono mi;andrzej dabrowski;zielono mi andrzej dabrowski;https://www.youtube.com/watch?v=A3Erhhwt9kg
ze starej plyty;andrzej frajndt;ze starej plyty andrzej frajndt;https://www.youtube.com/watch?v=clrrPVhil6E
dzieciaki z alwerni;andrzej grabowski;dzieciaki z alwerni andrzej grabowski;https://www.youtube.com/watch?v=z5G930NYvGo
fest ze sie jest;andrzej grabowski;fest ze sie jest andrzej grabowski;https://www.youtube.com/watch?v=QFWEeR6g9dc
jestem jak motyl;andrzej grabowski;jestem jak motyl andrzej grabowski;https://www.youtube.com/watch?v=9cTsf4W2JZQ
pomiedzy lozkiem a sufitem;andrzej grabowski;pomiedzy lozkiem a sufitem andrzej grabowski;https://www.youtube.com/watch?v=4-bnxBD2ZVo
czas relaksu;andrzej i eliza;czas relaksu andrzej i eliza;https://www.youtube.com/watch?v=TxMhoAwgAEs
dobra milosc miedzy nami;andrzej i eliza;dobra milosc miedzy nami andrzej i eliza;https://www.youtube.com/watch?v=iK5VkTeogEs
polskie drogi;andrzej kurylewicz;polskie drogi andrzej kurylewicz;https://www.youtube.com/watch?v=yYfWa4N0yy8
niekochanie;andrzej lampert i zespol pin;niekochanie andrzej lampert i zespol pin;https://www.youtube.com/watch?v=dUxx9AnANLw
15 dni;andrzej piaseczny;15 dni andrzej piaseczny;https://www.youtube.com/watch?v=2vDxuo0sgrI
chodz przytul przebacz;andrzej piaseczny;chodz przytul przebacz andrzej piaseczny;https://www.youtube.com/watch?v=R8Yucw6A8fk
dalej obok nas;andrzej piaseczny;dalej obok nas andrzej piaseczny;https://www.youtube.com/watch?v=NxG2KZf2zsE
milosc podgladaczy;andrzej piaseczny;milosc podgladaczy andrzej piaseczny;https://www.youtube.com/watch?v=mzzZITYwHs4
my ;andrzej piaseczny;my  andrzej piaseczny;https://www.youtube.com/watch?v=YLMJW62HE8A
my (o mnie o tobie o nas);andrzej piaseczny;my (o mnie o tobie o nas) andrzej piaseczny;https://www.youtube.com/watch?v=YLMJW62HE8A
piasek - chodz przytul przebacz;andrzej piaseczny;piasek - chodz przytul przebacz andrzej piaseczny;https://www.youtube.com/watch?v=R8Yucw6A8fk
pogodniej (zloty srodek);andrzej piaseczny;pogodniej (zloty srodek) andrzej piaseczny;https://www.youtube.com/watch?v=CEgc2m8WHEc
rysowane tobie ;andrzej piaseczny;rysowane tobie  andrzej piaseczny;https://www.youtube.com/watch?v=SHLAsI1bdz8
szlagier kinowy;andrzej piaseczny;szlagier kinowy andrzej piaseczny;https://www.youtube.com/watch?v=VPk9P-C8Q_I
sniadanie do lozka;andrzej piaseczny;sniadanie do lozka andrzej piaseczny;https://www.youtube.com/watch?v=gVUN-D09jls
sniadanie do lozka ;andrzej piaseczny;sniadanie do lozka  andrzej piaseczny;https://www.youtube.com/watch?v=gVUN-D09jls
to co dobre to co lepsze;andrzej piaseczny;to co dobre to co lepsze andrzej piaseczny;https://www.youtube.com/watch?v=GS_9uTJx3-U
wszystko dobrze;andrzej piaseczny;wszystko dobrze andrzej piaseczny;https://www.youtube.com/watch?v=ZBsEzCQTceU
z dwojga cial;andrzej piaseczny;z dwojga cial andrzej piaseczny;https://www.youtube.com/watch?v=8LpquIdzbpI
kiedys;andrzej piaseczny ;kiedys andrzej piaseczny ;https://www.youtube.com/watch?v=EpClron0Ddk
40 lat minelo;andrzej rosiewicz;40 lat minelo andrzej rosiewicz;https://www.youtube.com/watch?v=TSgohNm-1cg
ach jak przyjemnie;andrzej rosiewicz;ach jak przyjemnie andrzej rosiewicz;https://www.youtube.com/watch?v=uN4HVSuzreI
chlopcy radarowcy;andrzej rosiewicz;chlopcy radarowcy andrzej rosiewicz;https://www.youtube.com/watch?v=NR8YAK5YxU8
czterdziesci lat minelo;andrzej rosiewicz;czterdziesci lat minelo andrzej rosiewicz;https://www.youtube.com/watch?v=TSgohNm-1cg
czy czuje pani cha-che;andrzej rosiewicz;czy czuje pani cha-che andrzej rosiewicz;https://www.youtube.com/watch?v=jFlz2elxNoo
lubie wiosne;andrzej rosiewicz;lubie wiosne andrzej rosiewicz;https://www.youtube.com/watch?v=qL36rFa-gJw
najwiecej witaminy;andrzej rosiewicz;najwiecej witaminy andrzej rosiewicz;https://www.youtube.com/watch?v=8A-xV5hZ3Eg
samba wanna blues;andrzej rosiewicz;samba wanna blues andrzej rosiewicz;https://www.youtube.com/watch?v=R3I8JXP9xP8
badz tu;andrzej rybinski;badz tu andrzej rybinski;https://www.youtube.com/watch?v=R6_Gzb64GE0
czas relaksu;andrzej rybinski;czas relaksu andrzej rybinski;https://www.youtube.com/watch?v=Irn6GvUBNMI
nie licze godzin i lat;andrzej rybinski;nie licze godzin i lat andrzej rybinski;https://www.youtube.com/watch?v=rSktfVJc_IM
pocieszanka;andrzej rybinski;pocieszanka andrzej rybinski;https://www.youtube.com/watch?v=ayyeuheMVqw
za kazda cene;andrzej rybinski;za kazda cene andrzej rybinski;https://www.youtube.com/watch?v=AW_L18eRt3o
znajde cie;andrzej rybinski;znajde cie andrzej rybinski;https://www.youtube.com/watch?v=1CuoMnkXwhM
i nic i nic;andrzej sikorowski i maja sikorowska;i nic i nic andrzej sikorowski i maja sikorowska;https://www.youtube.com/watch?v=MKj0_7NKnbM
idol z broda;andrzej sikorowski i maja sikorowska;idol z broda andrzej sikorowski i maja sikorowska;https://www.youtube.com/watch?v=tVAehFcYrc4
rodzina ach rodzina;andrzej szczepkowski i starsi panowie dwaj;rodzina ach rodzina andrzej szczepkowski i starsi panowie dwaj;https://www.youtube.com/watch?v=DZYZu5mhWsw
